logFC	logCPM	PValue	FDR
YPK_3442	-2.32686274612945	7.57859434349847	0.0260030276475095	0.422737275698947
YPK_0857	-2.2639479750536	7.54091439778793	0.0261298280186166	0.422737275698947
YPK_0811	-3.29826271476121	7.09952333693173	0.0262310000208879	0.422737275698947
YPK_2564	1.32532565715408	8.96730028611162	0.026675309164382	0.427830920059511
YPK_1739	-1.23706098078153	8.58732941415954	0.0270369098377316	0.431555651763983
YPK_2382	-3.01243216545754	7.39856707841713	0.0274552520671102	0.433191513222955
YPK_2138	4.59303418162604	6.95015623070205	0.0278173679897181	0.433191513222955
YPK_0012	-1.28455643455743	9.10773412828856	0.0278302176720468	0.433191513222955
YPK_0031	2.05048624376001	7.80408367810232	0.0278362523003057	0.433191513222955
YPK_1689	4.59303292000518	6.95015623070205	0.0278417426307321	0.433191513222955
YPK_0873	4.5923445387465	6.94994977930802	0.0279922146860063	0.433191513222955
YPK_3523	1.06897137840538	8.88903322055604	0.0280483713597597	0.433191513222955
YPK_3241	-1.31067326547771	8.36030445774032	0.0291111441700784	0.447397501733815
YPK_0923	0.834500169859436	9.66246810246845	0.0292364074874016	0.447397501733815
YPK_4167	-3.00192258636417	7.38733108783028	0.029611322864052	0.448142485685347
YPK_3620	-5.05028400303356	7.04082121828107	0.0296864987823963	0.448142485685347
YPK_1145	4.44875728288657	6.88613937378966	0.0299940803845255	0.448142485685347
YPK_2446	2.58266084332332	7.47867964777061	0.0300766064407551	0.448142485685347
YPK_4027	4.97043618197913	7.13049432965537	0.0301423864247774	0.448142485685347
YPK_1917	1.69818592103921	8.14768553625314	0.0302145387086466	0.448142485685347
YPK_3772	4.4531225310432	6.88753771600657	0.0305346429568897	0.448142485685347
YPK_3587	-1.93105536344042	7.5729561010276	0.0305660826819203	0.448142485685347
