Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_2510,   0,   0,   0,   0,   0,   0
YPK_2511,   0,   0,   0,   0,   0,   1
YPK_2512,   0,   0,   0,   0,   0,   0
YPK_2513,   6,   4,   0,  10,   6,   4
YPK_2514,  41,  57,  52,  28,  19,  25
YPK_2515,   2,   0,   0,   0,   0,   0
YPK_2516,   4,  10,   2,   0,   2,   2
YPK_2517,   0,   0,   4,   3,   0,   4
YPK_2518,   0,   1,   0,   1,   0,   1
YPK_2519,   2,   0,   2,   6,   2,   4
YPK_2520,   4,   8,   2,   0,   0,   0
YPK_2521,   2,   4,   4,   2,   1,   2
YPK_2522,   0,   0,   0,   0,   0,   0
YPK_2523,   1,   0,   5,   4,   1,   0
YPK_2524,  11,  12,   8,   2,   6,   5
YPK_2525,   8,  12,   2,   2,  11,   1
YPK_2526,  10,   8,   2,   2,   1,   4
YPK_2527,  10,   0,   0,   0,   5,   3
YPK_2528,   5,   2,   6,   2,   0,   1
YPK_2529,   0,   0,   4,   0,   0,   2
YPK_2530,   6,   1,   3,   0,   0,   6
YPK_2531,   0,   0,   0,   2,   6,   2
YPK_2532,   2,   6,   6,   4,   4,   2
YPK_2533,   1,   0,   0,   0,   0,   0
YPK_2534,   0,   1,   0,   0,   0,   0
YPK_2535,  64,  58,  59,  62,  37,  46
YPK_2536,   4,   6,   7,   2,   3,   6
YPK_2537,   0,   2,   3,   0,   2,   1
YPK_2538,   0,   0,   0,   0,   0,   1
YPK_2539,   0,   2,   4,   0,   0,   0
YPK_2540,   0,   0,   4,   0,   0,   0
YPK_2541,   0,   0,   0,   2,   0,   0
YPK_2542,   0,   0,   0,   0,   0,   0
YPK_2543,   4,   0,   0,   0,   2,   0
YPK_2544,   0,   0,   0,   0,   3,   0
YPK_2545,   0,   0,   0,   0,   0,   0
YPK_2546,   0,   0,   0,   0,   0,   0
YPK_2547,   0,   0,   0,   0,   0,   0
YPK_2548,   0,   0,   0,   0,   0,   0
YPK_2549,  12,  12,   7,  10,   2,   7
YPK_2550,  18,   4,   6,  15,   8,   7
YPK_2551,  15,   7,   8,   6,   9,   6
YPK_2552,   4,   7,   8,   2,   0,   1
YPK_2553,  18,  12,  10,  12,  22,   5
YPK_2554,   8,  12,   4,   6,   4,  11
YPK_2555,   0,   0,   4,   0,   0,   0
YPK_2556,   0,   0,   0,   0,   0,   0
YPK_2557,   2,   4,   0,   0,   0,   0
YPK_2558,   0,   0,   2,   2,   1,   2
YPK_2559,   3,  14,   4,   7,   2,   8
YPK_2560,  12,   8,   6,   6,   4,   6
YPK_2561,   4,   2,   2,   0,   6,   1
YPK_2562,   0,   8,   8,   4,   2,   3
YPK_2563,   1,   2,   1,   0,   1,   0
YPK_2564,  36,  14,  11,   6,   9,   3
YPK_2565,  50,  45,  28,   4,   6,   1
YPK_2566, 133, 111, 181,  38,  90,  27
YPK_2567,   0,   2,   2,   1,   2,   1
YPK_2568,   6,   4,   0,   1,   0,   1
YPK_2569,   0,   0,   0,   0,   0,   3
YPK_2570,   2,   0,   0,   0,   0,   1
YPK_2571,   9,   4,   3,  10,  11,   6
YPK_2572,   3,  10,   5,  11,   6,   7
YPK_2573,   0,   0,   2,   0,   4,   0
YPK_2574,   0,   0,   2,   0,   0,   0
YPK_2575,   0,   0,   0,   0,   0,   0
